strategy,stats_down_beta,stats_pricechange_modsharpe,stats_profit_factor,stats_recovery_factor,stats_up_beta,rating,stats_betas_ratio,stats_betas_difference
"(1, 30, 10.0, 13, 20)",0.04109593091074447,-0.016176388326293804,0.6003872066580956,-0.37423152281026567,0.04151269410903704,1.0,0.7041391488022388,0.0004167631982925742
"(1, 30, 8.0, 11, 20)",0.16197167857765576,-0.012961434989466638,0.877753171464637,-0.3159193407061113,0.050195821106906985,3.0,0.29720035989786403,-0.11177585747074878
"(1, 5, 10.0, 11, 20)",0.16197167857765576,-0.012961434989466638,0.877753171464637,-0.3159193407061113,0.050195821106906985,2.0,0.29720035989786403,-0.11177585747074878
"(1, 5, 10.0, 13, 20)",0.04109593091074447,-0.016176388326293804,0.6003872066580956,-0.37423152281026567,0.04151269410903704,2.0,0.7041391488022388,0.0004167631982925742
"(1, 5, 9.0, 10, 20)",-0.004463097640891681,-0.0004221267252210582,0.17210988237230496,-0.018875302435822392,-0.02525338775023365,3.0,0.9843433568427884,-0.020790290109341972
"(1, 5, 9.0, 12, 20)",-0.0284728801078295,-0.004019363326861936,0.9351891128296049,-0.17219801308669785,-0.00922443120593446,2.0,0.3073869132454731,0.01924844890189504
"(1, 50, 5, 0.5, 20)",0.03432197012529452,-0.0022618710724179422,0.6084344524550791,-0.06830680360795137,0.043715184668901445,4.0,0.7886439843823222,0.009393214543606932
"(1, 1000, 3, 0.05, 1, 3, 30)",-0.6528518666765878,0.003701670391809654,0.3007727578761454,0.2118334615607433,0.009222413825478306,2.0,-0.002380058167140494,0.6620742805020662
"(1, 300, 2, 0.05, 1, 2, 30)",0.0012001384579603451,-0.00403318518456188,0.07987813759124279,-0.10430886697126895,0.01093053263965006,1.0,0.9912150520327845,0.009730394181689715
"(1, 300, 3, 0.05, 1, 0, 50)",0.6750157676341555,-0.004122544295833683,0.3381831597223096,-0.12052601634870018,0.031446743514258496,3.0,0.01650337701381295,-0.643569024119897
"(1, 300, 3, 0.05, 1, 5, 40)",0.23072201089266187,-0.008613220754910389,0.8706870569808297,-0.305529981283757,0.06185268087174106,3.0,0.25081076673050967,-0.1688693300209208
